Timestamp,Cuál se su sexo?,Cuál es su edad?,"Usted usa domotica (Alexa, google Home u otro dispositivo similar) en su hogar u oficina?
Si su respuesta es NO aquí termina el cuestionario.","Cuanto tiempo estas en tu hogar u oficina donde tengas un dispositivo inteligente(Alexa, google home u otro dispositivo similar)",Que relación tiene usted con el ambiente donde se encuentra el aparato inteligente?,Usted ve una mejora en su vida cotidiana usando la domotica?,"Si su respuesta fue SI, usted que podría mejorar su asistente inteligente que mejoraría? y si su respuesta fue NO déjenos un comentario explicando él porque usan dispositivos inteligentes."
8/16/2022 16:22:04,,,No,,,,
8/21/2022 22:51:54,Masculino,22 a 31 años,SI,21 a 24 horas,"Habitante, Trabajador",,"Confort, Ahorro economico"
8/28/2022 16:25:48,Femenino,32 a 41 años,SI,0 a 8 horas,Habitante,SI,"Confort, Ahorro economico"
8/28/2022 16:25:58,Masculino,32 a 41 años,NO,,,,
8/28/2022 16:26:18,Masculino,42 a 51 años,SI,13 a 16 horas,Trabajador,SI,"Productividad, Confort, Ahorro economico, Seguridad"
8/28/2022 16:29:41,Masculino,22 a 31 años,NO,,,,
8/28/2022 16:31:19,Femenino,32 a 41 años,SI,9 a 12 horas,Habitante,SI,Productividad
8/28/2022 16:35:31,Masculino,22 a 31 años,NO,,,,
8/28/2022 16:37:00,Masculino,22 a 31 años,NO,,,,
8/28/2022 16:40:19,Prefiero no decirlo,17 a 21 años,SI,13 a 16 horas,Cliente,SI,Confort
8/28/2022 16:49:34,Masculino,22 a 31 años,NO,17 a 20 horas,"Cliente, Habitante",SI,"Productividad, Confort, Seguridad"
8/28/2022 16:53:52,Femenino,22 a 31 años,NO,,,,
8/28/2022 16:58:31,Femenino,32 a 41 años,SI,9 a 12 horas,Habitante,SI,Confort
8/28/2022 17:58:23,Masculino,42 a 51 años,SI,0 a 8 horas,Habitante,SI,"Productividad, Confort, Seguridad"
8/28/2022 18:35:27,Femenino,62+ años,SI,9 a 12 horas,Habitante,SI,"Productividad, Confort, Ahorro economico"
8/28/2022 18:36:05,Femenino,42 a 51 años,SI,9 a 12 horas,Cliente,NO,Confort
8/28/2022 18:36:19,Prefiero no decirlo,17 a 21 años,SI,17 a 20 horas,Habitante,SI,"Productividad, Confort"
8/28/2022 18:36:39,Femenino,32 a 41 años,SI,21 a 24 horas,Habitante,SI,"Productividad, Confort, Ahorro economico, Seguridad"
8/28/2022 18:37:04,Femenino,32 a 41 años,SI,17 a 20 horas,Cliente,NO,Confort
8/28/2022 18:37:25,Femenino,52 a 61 años,SI,13 a 16 horas,Trabajador,SI,"Productividad, Confort, Ahorro economico, Seguridad"
8/28/2022 18:37:30,Masculino,17 a 21 años,SI,21 a 24 horas,Habitante,SI,Productividad
8/28/2022 18:37:34,Masculino,32 a 41 años,NO,,,,
8/28/2022 18:37:43,Masculino,52 a 61 años,NO,,,,
8/28/2022 18:38:01,Masculino,32 a 41 años,SI,17 a 20 horas,Habitante,SI,Confort
8/28/2022 18:40:06,Femenino,22 a 31 años,SI,9 a 12 horas,Habitante,SI,"Confort, Ahorro economico"
8/28/2022 18:40:32,Femenino,32 a 41 años,SI,9 a 12 horas,Habitante,SI,"Productividad, Confort, Ahorro economico, Seguridad"
8/28/2022 18:40:46,Masculino,32 a 41 años,SI,13 a 16 horas,Habitante,SI,"Productividad, Confort, Ahorro economico, Seguridad"
8/28/2022 19:01:15,Femenino,32 a 41 años,SI,9 a 12 horas,Habitante,SI,"Productividad, Confort, Ahorro economico, Seguridad"
8/28/2022 19:48:48,Masculino,22 a 31 años,SI,9 a 12 horas,Habitante,SI,Confort
8/28/2022 19:49:04,Femenino,17 a 21 años,SI,0 a 8 horas,Trabajador,SI,Confort
8/28/2022 19:49:20,Femenino,52 a 61 años,SI,0 a 8 horas,Habitante,SI,Confort
8/28/2022 19:49:35,Femenino,32 a 41 años,SI,17 a 20 horas,Habitante,SI,"Confort, Ahorro economico, Seguridad"
8/28/2022 19:49:43,Femenino,17 a 21 años,NO,,,,
8/28/2022 19:49:52,Masculino,32 a 41 años,NO,,,,
8/28/2022 19:50:07,Femenino,62+ años,SI,9 a 12 horas,Cliente,NO,Confort
8/28/2022 19:50:23,Masculino,22 a 31 años,SI,13 a 16 horas,Trabajador,SI,"Productividad, Confort, Ahorro economico, Seguridad"
8/28/2022 19:50:37,Masculino,22 a 31 años,SI,21 a 24 horas,"Habitante, Trabajador",SI,"Productividad, Confort, Ahorro economico"
8/28/2022 19:52:19,Masculino,32 a 41 años,SI,9 a 12 horas,Habitante,SI,"Productividad, Confort"
8/28/2022 19:52:33,Prefiero no decirlo,22 a 31 años,SI,9 a 12 horas,Habitante,SI,Confort
8/28/2022 19:52:56,Femenino,22 a 31 años,SI,9 a 12 horas,"Cliente, Habitante",,"Productividad, Confort"
8/28/2022 19:53:30,Femenino,17 a 21 años,SI,13 a 16 horas,Trabajador,SI,"Productividad, Confort"
8/28/2022 19:55:34,Masculino,32 a 41 años,SI,9 a 12 horas,Habitante,SI,Ahorro economico
8/28/2022 19:55:50,Masculino,22 a 31 años,SI,13 a 16 horas,"Habitante, Trabajador",SI,"Ahorro economico, Seguridad"
8/28/2022 19:56:06,Masculino,22 a 31 años,SI,13 a 16 horas,Habitante,SI,"Ahorro economico, Seguridad"
8/28/2022 19:56:51,Femenino,17 a 21 años,SI,9 a 12 horas,Habitante,SI,Ahorro economico
8/28/2022 19:57:04,Masculino,32 a 41 años,SI,9 a 12 horas,Habitante,SI,"Ahorro economico, Seguridad"
8/28/2022 19:58:06,Masculino,22 a 31 años,SI,13 a 16 horas,Habitante,SI,"Ahorro economico, Seguridad"
8/28/2022 19:58:20,Masculino,32 a 41 años,SI,9 a 12 horas,Habitante,SI,"Ahorro economico, Seguridad"
